nuclide,Z,A,isomer_keV,isomer_u_keV,isomer_t_s,isomer_jp,gateway_keV,gateway_u_keV,dE_keV,gateway_jp,gateway_t_s,gateway_t_op,observed,multipole,p_release,p_return,p_unknown,beta,E_released_keV,leverage,gamma_GI_eV,width_kind,gJ,sigma_int_b_eV,doppler_fwhm_eV,sigma_eff_b,N_areal_cm2,thickness_cm,neec,atomic
124cs,55,124,462.63,0.14,6.41,(7)+,1091.4,0.4,628.77,(9-),,,0,M2,1,0,0,5.12907,1091.4,1.73577,5.62999e-08,Weisskopf M2,1.26667,0.0013864,0.692413,0.00188094,1.03654e+26,2073.08,0,0
124cs,55,124,462.63,0.14,6.41,(7)+,1244.55,0.1,781.92,(1)+,,,1,E6,0.995498,0.00450211,0,2.91284,1242.47,1.589,,unknown,0.2,,0.861065,,,,0,0
130cs,55,130,163.25,0.11,207.6,5-,278.8,0.1,115.55,(6)-,,,1,M1,0,1,0,1,115.55,1,5.68674e-05,Weisskopf M1,1.18182,38.6881,0.124275,292.446,3.41944e+21,0.0683887,0,0
130cs,55,130,163.25,0.11,207.6,5-,375.6,0.15,212.35,(7)-,,,0,E2,0,1,0,2,212.35,1,1.36628e-08,Weisskopf E2,1.36364,0.00317569,0.228384,0.0130624,3.82777e+25,765.555,0,0
134cs,55,134,138.744,0.0026,10483.2,8-,257.108,0.0026,118.363,6-,1.23e-08,,1,E2,0.457785,0.542215,0,0.74163,181.878,1.53661,2.01121e-08,measured,0.764706,0.00843762,0.125386,0.0632151,2.133e+25,426.601,0,0
134cs,55,134,138.744,0.0026,10483.2,8-,344.359,0.0025,205.615,7-,,,1,M1,0.153754,0.846246,0,0.967545,226.948,1.10375,0.00032042,Weisskopf M1,0.882353,51.399,0.217815,221.676,4.66242e+21,0.0932483,0,0
134cs,55,134,138.744,0.0026,10483.2,8-,382.983,0.0024,244.239,6-,,,0,E2,0.203114,0.796886,0,1.04198,272.42,1.11538,2.86356e-08,Weisskopf E2,0.764706,0.00282145,0.25873,0.0102441,9.3684e+25,1873.68,0,0
134cs,55,134,138.744,0.0026,10483.2,8-,434.175,0.003,295.43,6- 7-,,,1,,0.0431247,0.956875,0,1.06986,301.414,1.02025,,unknown,1,,0.312959,,,,0,0
134cs,55,134,138.744,0.0026,10483.2,8-,748.7,0.9,609.956,,,,1,,0,1,0,1,609.956,1,,unknown,1,,0.646146,,,,0,0
134cs,55,134,138.744,0.0026,10483.2,8-,820.7,1,681.956,,,,1,,0,1,0,1,681.956,1,,unknown,1,,0.722417,,,,0,0
136cs,55,136,517.9,0.1,17.5,8-,583.9,0.5,66,9-,,,1,M1,0,1,0,1,66,1,1.05971e-05,Weisskopf M1,1.11765,20.898,0.0693999,282.877,3.53511e+21,0.0707022,0,1
138cs,55,138,79.9,0.3,174.6,6-,254.4,0.5,174.5,(7-),,,1,M1,0,1,0,0.840336,174.5,1,0.000195857,Weisskopf M1,1.15385,57.0427,0.182155,294.178,4.04517e+21,0.0809033,0,0
138cs,55,138,79.9,0.3,174.6,6-,1121.8,0.5,1041.9,(8-),,,1,E2,0,1,0,1,1041.9,1,4.20718e-05,Weisskopf E2,1.30769,0.389536,1.0876,0.336455,2.97216e+24,59.4433,0,0
138cs,55,138,79.9,0.3,174.6,6-,1206.2,0.5,1126.3,(8-),,,1,E2,0,1,0,1,1126.3,1,6.21057e-05,Weisskopf E2,1.30769,0.492075,1.17571,0.393173,2.54341e+24,50.8682,0,0
138cs,55,138,79.9,0.3,174.6,6-,1312.4,0.5,1232.5,(8-),,,1,E2,0,1,0,1.76681,1232.5,1,9.7453e-05,Weisskopf E2,1.30769,0.644808,1.28656,0.470814,1.20216e+24,24.0432,0,0
127ba,56,127,80.32,0.11,1.93,7/2-,81.29,0.13,0.97,(5/2)+,7.5e-08,,0,E1,1,0,0,0.202932,81.29,83.8041,1.51781e-09,Weisskopf E1,0.75,9.29903,0.00105549,8276.26,5.95409e+20,0.0119082,1,1
127ba,56,127,80.32,0.11,1.93,7/2-,159.66,0.14,79.34,(9/2)-,4e-10,,1,M1,0,1,0,0.3367,79.34,1,1.14059e-06,measured,1.25,1.74084,0.0863326,18.9424,1.56791e+23,3.13582,0,1
127ba,56,127,80.32,0.11,1.93,7/2-,195.56,0.14,115.24,(7/2)+,,,0,E1,1,0,0,0.79817,195.56,1.69698,0.00254514,Weisskopf E1,1,1473.02,0.125397,11035,1.13536e+20,0.00227071,0,0
127ba,56,127,80.32,0.11,1.93,7/2-,269.6,0.3,189.28,(5/2)+,,,0,E1,1,0,0,0.944242,269.6,1.42434,0.0112776,Weisskopf E1,0.75,1814.56,0.205962,8276.26,1.27962e+20,0.00255925,0,0
127ba,56,127,80.32,0.11,1.93,7/2-,293.91,0.14,213.59,(11/2)-,,,1,E2,0,1,0,1.01616,213.59,1,1.36353e-08,Weisskopf E2,1.5,0.00344586,0.232415,0.0139279,7.06567e+25,1413.13,0,0
127ba,56,127,80.32,0.11,1.93,7/2-,324.26,0.23,243.94,(7/2)+,,,0,E1,1,0,0,1.15797,324.26,1.32926,0.0241407,Weisskopf E1,1,3118.08,0.265439,11035,7.82584e+19,0.00156517,0,0
127ba,56,127,80.32,0.11,1.93,7/2-,375.17,0.23,294.85,(7/2)+,,,0,E1,1,0,0,1.13471,375.17,1.27241,0.042629,Weisskopf E1,1,3768.82,0.320836,11035,7.98623e+19,0.00159725,0,0
127ba,56,127,80.32,0.11,1.93,7/2-,415.89,0.16,335.57,(9/2)+,,,0,E1,1,0,0,1.61793,415.89,1.23935,0.0628421,Weisskopf E1,1.25,5361.64,0.365145,13793.8,4.48082e+19,0.000896165,0,0
127ba,56,127,80.32,0.11,1.93,7/2-,599.36,0.25,519.04,(9/2+),,,0,E1,1,0,0,1.71969,599.36,1.15475,0.232543,Weisskopf E1,1.25,8293.07,0.564785,13793.8,4.21568e+19,0.000843135,0,0
127ba,56,127,80.32,0.11,1.93,7/2-,669.11,0.17,588.79,(11/2)+,,,0,M2,0.915453,0.0845471,0,2.03848,662.319,1.12488,4.11881e-08,Weisskopf M2,1.5,0.00136976,0.640683,0.00200841,2.44254e+26,4885.08,0,0
127ba,56,127,80.32,0.11,1.93,7/2-,728.5,0.4,648.18,(9/2+),,,0,E1,1,0,0,2.03948,728.5,1.12392,0.452886,Weisskopf E1,1.25,10356.4,0.705307,13793.8,3.55466e+19,0.000710933,0,0
127ba,56,127,80.32,0.11,1.93,7/2-,832.5,0.4,752.18,,,,1,,0,1,0,1.16835,752.18,1,,unknown,1,,0.818473,,,,0,0
127ba,56,127,80.32,0.11,1.93,7/2-,868.2,0.3,787.88,(11/2+),,,0,M2,1,0,0,2.26564,868.2,1.10194,1.76714e-07,Weisskopf M2,1.5,0.00328204,0.857319,0.00359627,1.22732e+26,2454.64,0,0
127ba,56,127,80.32,0.11,1.93,7/2-,876.9,0.4,796.58,,,,1,,0,1,0,1.8837,796.58,1,,unknown,1,,0.866786,,,,0,0
127ba,56,127,80.32,0.11,1.93,7/2-,906.5,0.3,826.18,(11/2+),,,0,M2,1,0,0,2.40757,906.5,1.09722,2.24049e-07,Weisskopf M2,1.5,0.00378432,0.898995,0.00395441,1.05036e+26,2100.72,0,0
127ba,56,127,80.32,0.11,1.93,7/2-,991.2,0.4,910.88,,,,1,,0,1,0,1.45095,910.88,1,,unknown,1,,0.99116,,,,0,0
127ba,56,127,80.32,0.11,1.93,7/2-,1961.2,0.4,1880.88,,,,1,,0,1,0,1.45095,1880.88,1,,unknown,1,,2.04665,,,,0,0
127ba,56,127,80.32,0.11,1.93,7/2-,2351.9,0.4,2271.58,,,,1,,0,1,0,1.50808,2271.58,1,,unknown,1,,2.47178,,,,0,0
129ba,56,129,8.42,0.06,7686,7/2+,110.57,0.05,102.15,3/2+,,,1,E2,0.997613,0.00238672,0,0.573213,110.55,1.08223,3.48337e-10,Weisskopf E2,0.5,0.000128291,0.110288,0.00109275,1.59649e+27,31929.7,0,0
129ba,56,129,8.42,0.06,7686,7/2+,182.04,0.11,173.62,9/2-,1.52e-08,,1,E1,0,1,0,0.953016,173.62,1,3.00156e-08,measured,1.25,0.00956668,0.187452,0.0479427,2.18865e+25,437.731,0,0
129ba,56,129,8.42,0.06,7686,7/2+,253.76,0.05,245.34,3/2+,,,0,E2,0.999568,0.000432456,0,0.982919,253.756,1.0343,2.78388e-08,Weisskopf E2,0.5,0.0017774,0.264885,0.00630346,1.614e+26,3228,0,0
129ba,56,129,8.42,0.06,7686,7/2+,263.1,0.1,254.68,9/2+,,,1,M1,0,1,0,0.929627,254.68,1,0.000608889,Weisskopf M1,1.25,90.1907,0.274969,308.126,3.49111e+21,0.0698222,0,0
129ba,56,129,8.42,0.06,7686,7/2+,278.81,0.12,270.39,11/2-,,,0,M2,0,1,0,1.33763,270.39,1,8.50054e-10,Weisskopf M2,1.5,0.000134048,0.291931,0.00043135,1.73314e+27,34662.8,0,0
129ba,56,129,8.42,0.06,7686,7/2+,318.4,0.1,309.98,5/2+,,,0,M1,0.999722,0.000278256,0,1.02049,318.398,1.02716,0.00109788,Weisskopf M1,0.75,65.8646,0.334675,184.875,5.30044e+21,0.106009,0,0
129ba,56,129,8.42,0.06,7686,7/2+,457.02,0.06,448.6,3/2+,,,1,E2,0.728843,0.271157,0,1.17694,454.737,1.01368,5.6899e-07,Weisskopf E2,0.5,0.0108657,0.484338,0.0210747,4.03166e+25,806.331,0,0
129ba,56,129,8.42,0.06,7686,7/2+,459.29,0.09,450.87,5/2+,,,0,M1,0.997923,0.00207666,0,1.59188,459.273,1.01864,0.00337837,Weisskopf M1,0.75,95.8009,0.486789,184.875,3.3979e+21,0.0679581,0,0
129ba,56,129,8.42,0.06,7686,7/2+,467.3,0.1,458.88,7/2+,,,0,M1,0.997862,0.00213809,0,1.56966,467.282,1.01831,0.00356165,Weisskopf M1,1,130.004,0.495437,246.501,2.5845e+21,0.05169,0,0
129ba,56,129,8.42,0.06,7686,7/2+,542.27,0.08,533.85,5/2+,,,1,M1,0.507355,0.492645,0,1.2958,538.122,1.008,0.00560805,Weisskopf M1,0.75,113.432,0.57638,184.875,4.17428e+21,0.0834856,0,0
129ba,56,129,8.42,0.06,7686,7/2+,544.74,0.1,536.32,11/2+,1.06e-11,,1,E2,1.11022e-16,1,0,1.19254,536.32,1,3.3279e-05,measured,1.5,1.33388,0.579047,2.16398,3.87502e+23,7.75004,0,0
129ba,56,129,8.42,0.06,7686,7/2+,617.81,0.07,609.39,(3/2+ 5/2+),,,1,,0.909681,0.0903188,0,1.31342,617.05,1.01257,,unknown,1,,0.657938,,,,0,0
129ba,56,129,8.42,0.06,7686,7/2+,631.3,1.3,622.88,7/2-,,,0,E1,0,0,1,0,0,0,0.406105,Weisskopf E1,1,8045.13,0.672502,11238,,,0,0
129ba,56,129,8.42,0.06,7686,7/2+,659.97,0.08,651.55,5/2+,,,1,M1,0.82761,0.17239,0,1.71005,658.518,1.0107,0.0101952,Weisskopf M1,0.75,138.441,0.703456,184.875,3.16309e+21,0.0632618,0,0
129ba,56,129,8.42,0.06,7686,7/2+,711.92,0.06,703.5,(3/2 5/2)+,,,1,,0.838729,0.161271,0,1.7363,710.562,1.01004,,unknown,1,,0.759545,,,,0,0
129ba,56,129,8.42,0.06,7686,7/2+,806.84,0.2,798.42,9/2+,,,0,M1,0.999653,0.000347368,0,2.03089,806.837,1.01054,0.0187607,Weisskopf M1,1.25,282.747,0.862027,308.126,1.59803e+21,0.0319606,0,0
129ba,56,129,8.42,0.06,7686,7/2+,849.44,0.09,841.02,5/2+,,,0,M1,0.994852,0.00514795,0,1.75804,849.397,1.00996,0.0219267,Weisskopf M1,0.75,178.7,0.908021,184.875,3.07676e+21,0.0615351,0,0
129ba,56,129,8.42,0.06,7686,7/2+,888.65,0.06,880.23,(3/2+ 5/2+),,,1,,0.775893,0.224107,0,1.44749,886.763,1.00742,,unknown,1,,0.950355,,,,0,0
129ba,56,129,8.42,0.06,7686,7/2+,999.1,0.1,990.68,11/2+,,,0,E2,0.997913,0.00208727,0,2.57043,999.082,1.00848,2.98865e-05,Weisskopf E2,1.5,0.351077,1.0696,0.30834,1.26172e+24,25.2344,0,0
129ba,56,129,8.42,0.06,7686,7/2+,1062.65,0.1,1054.23,3/2+,,,0,E2,0.999561,0.000438559,0,2.04088,1062.65,1.00798,4.07836e-05,Weisskopf E2,0.5,0.141022,1.13822,0.116389,4.20987e+24,84.1975,0,0
129ba,56,129,8.42,0.06,7686,7/2+,1094.96,0.08,1086.54,(3/2+ 5/2+),,,1,,0.713728,0.286272,0,1.55512,1092.55,1.00553,,unknown,1,,1.1731,,,,0,0
129ba,56,129,8.42,0.06,7686,7/2+,1204.1,0.2,1195.68,7/2+,,,0,M1,0,0,1,0,0,0,0.0630084,Weisskopf M1,1,338.744,1.29094,246.501,,,0,0
129ba,56,129,8.42,0.06,7686,7/2+,1282.5,0.8,1274.08,5/2+,,,0,M1,0,0,1,0,0,0,0.0762332,Weisskopf M1,0.75,270.717,1.37558,184.875,,,0,0
129ba,56,129,8.42,0.06,7686,7/2+,1303.8,0.8,1295.38,(9/2)+,,,0,M1,0,0,1,0,0,0,0.0801208,Weisskopf M1,1.25,458.737,1.39858,308.126,,,0,0
129ba,56,129,8.42,0.06,7686,7/2+,1338.9,1,1330.48,9/2-,,,0,E1,0,0,1,0,0,0,3.95777,Weisskopf E1,1.25,21480.6,1.43647,14047.5,,,0,0
129ba,56,129,8.42,0.06,7686,7/2+,1401,2,1392.58,5/2+,,,0,M1,0,0,1,0,0,0,0.0995438,Weisskopf M1,0.75,295.895,1.50352,184.875,,,0,0
129ba,56,129,8.42,0.06,7686,7/2+,1504.3,0.5,1495.88,(5/2)+,,,0,M1,0,0,1,0,0,0,0.12338,Weisskopf M1,0.75,317.845,1.61505,184.875,,,0,0
129ba,56,129,8.42,0.06,7686,7/2+,1610.2,0.08,1601.78,(5/2-),,,0,E1,0.872572,0.127428,0,2.15055,1609.13,1.00459,6.90612,Weisskopf E1,0.75,15516.5,1.72939,8428.51,5.51697e+19,0.00110339,0,0
129ba,56,129,8.42,0.06,7686,7/2+,1692.3,1.3,1683.88,11/2-,,,0,M2,0,0,1,0,0,0,7.9625e-06,Weisskopf M2,1.5,0.0323759,1.81803,0.016729,,,0,0
129ba,56,129,8.42,0.06,7686,7/2+,2008.1,5.5,1999.68,3/2-,,,0,M2,0,0,1,0,0,0,1.8806e-05,Weisskopf M2,0.5,0.0180737,2.15899,0.00786409,,,0,0
131ba,56,131,187.995,0.009,855.6,9/2-,287.52,0.2,99.525,11/2-,,,1,M1,0,1,0,0.497512,99.525,1,3.63371e-05,Weisskopf M1,1.2,33.8353,0.10663,298.085,6.74305e+21,0.134861,0,1
131ba,56,131,187.995,0.009,855.6,9/2-,316.585,0.007,128.59,5/2+,,,0,M2,1,0,0,1.3377,316.585,2.46197,2.08922e-11,Weisskopf M2,0.6,5.82672e-06,0.13777,3.973e-05,1.88157e+28,376315,0,0
131ba,56,131,187.995,0.009,855.6,9/2-,542.89,0.14,354.895,7/2+,,,0,E1,1,0,0,1.63894,542.89,1.52972,0.0758891,Weisskopf E1,0.8,3704.87,0.380232,9153.24,6.66593e+19,0.00133319,0,0
131ba,56,131,187.995,0.009,855.6,9/2-,706.45,0.17,518.455,13/2-,,,1,E2,0,1,0,1.43615,518.455,1,1.19749e-06,Weisskopf E2,1.4,0.0479381,0.555469,0.0810722,8.58871e+24,171.774,0,0
131ba,56,131,187.995,0.009,855.6,9/2-,803.41,0.24,615.415,9/2+,,,0,E1,1,0,0,2.56045,803.41,1.30548,0.395717,Weisskopf E1,1,8030.66,0.659351,11441.5,3.41349e+19,0.000682698,0,0
131ba,56,131,187.995,0.009,855.6,9/2-,1030.6,0.6,842.605,(13/2-),,,1,E2,0,1,0,1.24876,842.605,1,1.3578e-05,Weisskopf E2,1.4,0.205788,0.902761,0.21414,3.73959e+24,74.7919,0,0
131ba,56,131,187.995,0.009,855.6,9/2-,1118.91,0.22,930.915,11/2+,,,0,E1,1,0,0,2.73027,1118.91,1.20195,1.36965,Weisskopf E1,1.2,14577.2,0.997376,13729.9,2.66765e+19,0.00053353,0,0
131ba,56,131,187.995,0.009,855.6,9/2-,1417.92,0.23,1229.93,13/2+,,,0,M2,1,0,0,3.58483,1417.92,1.15285,1.6724e-06,Weisskopf M2,1.4,0.0118964,1.31773,0.00848083,3.28922e+25,657.844,0,0
133ba,56,133,288.252,0.009,140040,11/2-,577.555,0.013,289.303,7/2+,,,0,M2,1,0,0,1.0574,577.555,1.99637,1.21646e-09,Weisskopf M2,0.666667,7.44741e-05,0.307618,0.000227428,4.15829e+27,83165.8,0,0
133ba,56,133,288.252,0.009,140040,11/2-,791.1,0.5,502.848,7/2-,,,0,E2,0,0,1,0,0,0,1.04876e-06,Weisskopf E2,0.666667,0.0212526,0.534682,0.0373395,,,0,0
133ba,56,133,288.252,0.009,140040,11/2-,862.8,0.09,574.548,(7/2)+,,,0,M2,1,0,0,1.62544,862.8,1.5017,3.75808e-08,Weisskopf M2,0.666667,0.000583345,0.610921,0.000896998,6.85864e+26,13717.3,0,0
133ba,56,133,288.252,0.009,140040,11/2-,883.39,0.04,595.138,9/2+,,,0,E1,1,0,0,1.95843,883.39,1.48434,0.36151,Weisskopf E1,0.833333,6537.42,0.632814,9704.67,5.26151e+19,0.0010523,0,0
133ba,56,133,288.252,0.009,140040,11/2-,901.8,0.08,613.548,13/2-,,,1,M1,0,1,0,0.993246,613.548,1,0.00851333,Weisskopf M1,1.16667,202.793,0.65239,292.009,3.44784e+21,0.0689569,0,0
133ba,56,133,288.252,0.009,140040,11/2-,968.97,0.08,680.718,15/2-,,,1,E2,0,1,0,0.995619,680.718,1,4.7679e-06,Weisskopf E2,1.33333,0.105447,0.723812,0.136854,7.33918e+24,146.784,0,0
133ba,56,133,288.252,0.009,140040,11/2-,1271.3,0.5,983.048,7/2-,,,0,E2,0,0,1,0,0,0,2.99478e-05,Weisskopf E2,0.666667,0.158791,1.04528,0.142707,,,0,0
133ba,56,133,288.252,0.009,140040,11/2-,1329.5,0.5,1041.25,7/2-,,,0,E2,0,0,1,0,0,0,3.99265e-05,Weisskopf E2,0.666667,0.188697,1.10717,0.160104,,,0,0
133ba,56,133,288.252,0.009,140040,11/2-,1352.76,0.05,1064.51,7/2+,,,0,M2,1,0,0,2.19616,1352.76,1.27078,8.20502e-07,Weisskopf M2,0.666667,0.00371017,1.1319,0.00307919,1.47877e+26,2957.53,0,0
133ba,56,133,288.252,0.009,140040,11/2-,1375.65,0.07,1087.4,11/2+,,,0,E1,1,0,0,2.19786,1375.65,1.26508,2.20512,Weisskopf E1,1,14333.7,1.15624,11645.6,3.90696e+19,0.000781391,0,0
133ba,56,133,288.252,0.009,140040,11/2-,1528.99,0.09,1240.74,15/2-,,,0,E2,0,1,0,1.98843,1240.74,1,9.5916e-05,Weisskopf E2,1.33333,0.638517,1.31928,0.454658,1.10613e+24,22.1225,0,0
133ba,56,133,288.252,0.009,140040,11/2-,1633.08,0.08,1344.83,13/2+,,,0,E1,1,0,0,2.97107,1633.08,1.21434,4.17126,Weisskopf E1,1.16667,20681.6,1.42996,13586.5,2.4773e+19,0.00049546,0,0
133ba,56,133,288.252,0.009,140040,11/2-,1968.2,0.5,1679.95,7/2-,,,0,E2,0,0,1,0,0,0,0.000436486,Weisskopf E2,0.666667,0.792483,1.7863,0.41676,,,0,0
133ba,56,133,288.252,0.009,140040,11/2-,2142.2,0.5,1853.95,(7/2-),,,0,E2,0,0,1,0,0,0,0.000714461,Weisskopf E2,0.666667,1.06511,1.97132,0.507563,,,0,0
133ba,56,133,288.252,0.009,140040,11/2-,2210.97,0.1,1922.72,15/2+,,,0,M2,1,0,0,3.4747,2210.97,1.14992,1.57729e-05,Weisskopf M2,1.33333,0.0437244,2.04444,0.0200909,1.43246e+25,286.492,0,0
133ba,56,133,288.252,0.009,140040,11/2-,2288.1,0.5,1999.85,7/2-,,,0,E2,0,0,1,0,0,0,0.00104346,Weisskopf E2,0.666667,1.33688,2.12645,0.590593,,,0,0
135ba,56,135,268.218,0.02,101196,11/2-,714.2,0.04,445.982,(7/2-),,,1,E2,0,1,0,1,445.982,1,5.87111e-07,Weisskopf E2,0.666667,0.0151251,0.47069,0.0301865,3.31274e+25,662.547,0,0
135ba,56,135,268.218,0.02,101196,11/2-,874.518,0.018,606.3,7/2+,1.32e-12,,0,M2,1,0,0,1.03211,874.518,1.44238,4.967e-08,Weisskopf M2,0.666667,0.000692358,0.63989,0.00101643,9.53234e+26,19064.7,0,0
135ba,56,135,268.218,0.02,101196,11/2-,950.5,0.3,682.282,(15/2-),,,1,E2,0,1,0,1,682.282,1,4.91987e-06,Weisskopf E2,1.33333,0.10831,0.720081,0.141298,7.07724e+24,141.545,0,0
135ba,56,135,268.218,0.02,101196,11/2-,1200.48,0.06,932.262,,,,1,,0,1,0,1,932.262,1,,unknown,1,,0.98391,,,,0,0
135ba,56,135,268.218,0.02,101196,11/2-,1446.41,0.07,1178.19,7/2-,,,1,E2,0.699301,0.300699,0,1.69981,1365.76,1.1592,7.55464e-05,Weisskopf E2,0.666667,0.278865,1.24346,0.210674,2.79247e+24,55.8494,0,0
135ba,56,135,268.218,0.02,101196,11/2-,1955.4,0.5,1687.18,(11/2+),,,0,E1,1,0,0,2.03211,1955.4,1.15897,8.31906,Weisskopf E1,1,22462.2,1.78065,11850.2,4.15269e+19,0.000830537,0,0
137ba,56,137,661.659,0.003,153.12,11/2-,1251.82,0.08,590.161,7/2+,3.54e-13,,0,M2,1,0,0,0.998861,1251.82,2.12115,4.38295e-08,Weisskopf M2,0.666667,0.000644818,0.618293,0.000979701,1.02188e+27,20437.7,0,0
137ba,56,137,661.659,0.003,153.12,11/2-,1797.67,0.17,1136.01,7/2-,,,1,E2,0.00988748,0.990113,0,1.00851,1142.55,1.00576,6.4204e-05,Weisskopf E2,0.666667,0.254923,1.19016,0.201211,4.92796e+24,98.5591,0,0
137ba,56,137,661.659,0.003,153.12,11/2-,2047.4,0.3,1385.74,,,,1,,0,1,0,1,1385.74,1,,unknown,1,,1.4518,,,,0,0
137ba,56,137,661.659,0.003,153.12,11/2-,2228.9,0.4,1567.24,7/2+,,,0,M2,1,0,0,2.1827,2228.9,1.42218,5.78886e-06,Weisskopf M2,0.666667,0.0120763,1.64195,0.00690914,6.63103e+25,1326.21,0,0
137ba,56,137,661.659,0.003,153.12,11/2-,2229.5,0.4,1567.84,(13/2-),,,1,M1,0,1,0,1.01478,1567.84,1,0.142056,Weisskopf M1,1.16667,518.21,1.64258,296.367,3.32505e+21,0.0665011,0,0
137ba,56,137,661.659,0.003,153.12,11/2-,2438.8,0.3,1777.14,,,,1,,0,1,0,1,1777.14,1,,unknown,1,,1.86186,,,,0,0
137ba,56,137,661.659,0.003,153.12,11/2-,2529.6,0.6,1867.94,7/2+,,,1,M2,0.721492,0.278508,0,2.10952,2345.32,1.25557,1.39229e-05,Weisskopf M2,0.666667,0.0204463,1.95698,0.00981474,4.8299e+25,965.981,0,0
137ba,56,137,661.659,0.003,153.12,11/2-,3141,20,2479.34,(9/2)-,,,0,M1,0,0,1,0,0,0,0.561775,Weisskopf M1,0.833333,585.345,2.59753,211.691,,,0,0
127la,57,127,14.2,0.4,222,(3/2+),72.8,0.4,58.6,(5/2+),,,1,M1,0,1,0,1,58.6,1,7.41731e-06,Weisskopf M1,1.5,24.9027,0.0637647,366.873,2.72574e+21,0.0545147,0,1
127la,57,127,14.2,0.4,222,(3/2+),134.5,0.4,120.3,(+),,,1,,0,1,0,0.543478,120.3,1,,unknown,1,,0.130903,,,,0,0
127la,57,127,14.2,0.4,222,(3/2+),210.2,0.4,196,(+),1.9e-09,,1,,0,1,0,0.942385,196,1,2.13646e-07,measured,1,0.042745,0.213274,0.188277,5.63604e+24,112.721,0,0
127la,57,127,14.2,0.4,222,(3/2+),250,0.4,235.8,(7/2+),9.7e-11,,1,E2,0,1,0,1.69023,235.8,1,5.78344e-07,measured,2,0.159894,0.256582,0.585404,1.01064e+24,20.2129,0,0
127la,57,127,14.2,0.4,222,(3/2+),325.8,0.4,311.6,(+),,,1,,0,1,0,1.3,311.6,1,,unknown,1,,0.339063,,,,0,0
127la,57,127,14.2,0.4,222,(3/2+),352.4,0.4,338.2,(+),,,1,,0,1,0,1.79348,338.2,1,,unknown,1,,0.368007,,,,0,0
127la,57,127,14.2,0.4,222,(3/2+),386.4,0.4,372.2,(5/2 7/2)+,,,1,,0,1,0,1.84512,372.2,1,,unknown,1,,0.405004,,,,0,0
127la,57,127,14.2,0.4,222,(3/2+),442.9,0.4,428.7,(+),,,1,,0,1,0,1.27972,428.7,1,,unknown,1,,0.466483,,,,0,0
127la,57,127,14.2,0.4,222,(3/2+),470.5,0.4,456.3,(+),,,1,,0,1,0,1.40202,456.3,1,,unknown,1,,0.496516,,,,0,0
127la,57,127,14.2,0.4,222,(3/2+),678.7,0.4,664.5,,,,1,,0,1,0,1.49533,664.5,1,,unknown,1,,0.723065,,,,0,0
127la,57,127,14.2,0.4,222,(3/2+),837.6,0.4,823.4,,,,1,,0,1,0,1.80852,823.4,1,,unknown,1,,0.89597,,,,0,0
127la,57,127,14.2,0.4,222,(3/2+),934.5,0.4,920.3,,,,1,,0,1,0,1.91789,920.3,1,,unknown,1,,1.00141,,,,0,0
127la,57,127,14.2,0.4,222,(3/2+),1161.9,0.4,1147.7,(3/2 5/2)+,,,1,,0,1,0,1.44263,1147.7,1,,unknown,1,,1.24885,,,,0,0
127la,57,127,14.2,0.4,222,(3/2+),1577.8,0.4,1563.6,,,,1,,0,1,0,1.43049,1563.6,1,,unknown,1,,1.70141,,,,0,0
127la,57,127,14.2,0.4,222,(3/2+),1668.7,0.4,1654.5,,,,1,,1.11022e-16,1,0,1.87427,1654.5,1,,unknown,1,,1.80032,,,,0,0
132la,57,132,188.2,0.11,1458,6-,231.8,0.4,43.6,(4-),,,0,E2,1,0,0,1.67751,231.8,5.31651,5.08807e-12,Weisskopf E2,0.692308,1.42424e-05,0.0465354,0.000287507,2.07342e+27,41468.4,0,1
132la,57,132,188.2,0.11,1458,6-,357.21,0.16,169.01,(7)-,,,1,M1,0,1,0,0.799361,169.01,1,0.000177947,Weisskopf M1,1.15385,55.2481,0.180389,287.712,4.3481e+21,0.086962,0,0
132la,57,132,188.2,0.11,1458,6-,361.3,0.4,173.1,(5-),,,1,M1,0.5,0.5,0,1.83875,267.2,1.54362,0.000191181,Weisskopf M1,0.846154,41.4957,0.184754,210.989,2.57761e+21,0.0515522,0,0
132la,57,132,188.2,0.11,1458,6-,390.79,0.18,202.59,(7)-,,,1,M1,0,1,0,0.877905,202.59,1,0.000306484,Weisskopf M1,1.15385,66.2251,0.21623,287.712,3.95908e+21,0.0791817,0,0
132la,57,132,188.2,0.11,1458,6-,508.17,0.17,319.97,6+,,,1,E1,0,1,0,1.27863,319.97,1,0.0558997,Weisskopf E1,1,4196.57,0.341513,11543.5,6.77511e+19,0.00135502,0,0
132la,57,132,188.2,0.11,1458,6-,521.9,0.3,333.7,(6-),,,1,M1,0.125,0.875,0,1.879,357.225,1.0705,0.00136969,Weisskopf M1,1,94.5394,0.356167,249.35,2.13433e+21,0.0426867,0,0
132la,57,132,188.2,0.11,1458,6-,584.33,0.18,396.13,(8-),,,1,E2,0,1,0,1.61223,396.13,1,3.14999e-07,Weisskopf E2,1.30769,0.0201763,0.4228,0.0448289,1.38362e+25,276.724,0,0
132la,57,132,188.2,0.11,1458,6-,603.3,0.6,415.1,(6-),,,0,M1,0.5,0.5,0,2.83875,509.2,1.22669,0.0026364,Weisskopf M1,1,117.601,0.443047,249.35,1.41274e+21,0.0282548,0,0
