nuclide,Z,A,state_index,E_keV,t_half_s,lambda_m_per_s,Jpi,decay_modes
134Cem,58,134,1,3208.6,3.08e-07,2250477.8589608613,10+,IT=100
134Ndm,60,134,1,2293.0,0.00038899999999999997,1781.8693587659263,8-,IT=100
134Pmn,61,134,2,120.0,1.9999999999999998e-05,34657.35902799727,(7-),IT=100
135Tem,52,135,1,1554.89,5.110000000000001e-07,1356452.408140793,(19/2-),IT=100
135Xem,54,135,1,526.551,917.4,0.0007555561157182748,11/2-*,IT~100;B-=0.30 17
135Csm,55,135,1,1632.9,3180.0,0.00021797081149683815,19/2-*,IT=100
135Bam,56,135,1,268.218,101196.0,6.849551173563632e-06,11/2-,IT=100
135Ban,56,135,2,2388.0,0.0010600000000000002,653.9124344905143,(23/2+),IT=100
135Cem,58,135,1,445.81,20.0,0.03465735902799726,(11/2-),IT=100
135Prm,59,135,1,358.06,0.00010499999999999999,6601.401719618527,(11/2-),IT=100
135Ndm,60,135,1,64.95,330.0,0.002100446001696804,(1/2+),B+~100;IT ?
135Pmm,61,135,1,240.0,40.0,0.01732867951399863,(11/2-),B+=100
136Sbm,51,136,1,269.3,5.7e-07,1216047.6851928863,(6-),IT=100
136Im,53,136,1,206.0,46.6,0.014874403016307838,(6-),B-=100
136Xem,54,136,1,1891.74,2.92e-06,237379.1714246388,6+,IT=100
136Csm,55,136,1,517.9,17.5,0.03960841031771116,8-*,IT=?;B- ?
136Bam,56,136,1,2030.535,0.3084,2.2475589512319885,7-,IT=100
136Ban,56,136,2,3357.19,9.100000000000001e-08,7617001.984175222,10+,IT=100
136Lam,57,136,1,259.5,0.114,6.080238425964432,(7-),IT=100
136Lan,57,136,2,2520.6,1.8700000000000002e-07,3706669.4147590655,(14+),IT=100
136Cem,58,136,1,3095.0,1.96e-06,353646.52069384966,10+,IT=100
136Pmm,61,136,1,100.0,90.0,0.007701635339554948,2+#,B+=100
136Pmn,61,136,2,42.7,1.5e-06,462098.12037329684,7-#,IT=100
136Smm,62,136,1,2264.7,1.4999999999999999e-05,46209.81203732969,(8-),IT=100
136Eum,63,136,1,100.0,3.8,0.182407152778933,1+#,B+=100;B+p~0.09
137Bam,56,137,1,661.659,153.12,0.004526823279518974,11/2-*,IT=100
137Ban,56,137,2,2349.1,5.89e-07,1176820.340509245,(19/2-),IT=100
137Lam,57,137,1,1869.5,3.42e-07,2026746.141988144,19/2-,IT=100
137Cem,58,137,1,254.29,123840.0,5.59711870607191e-06,11/2-*,IT=99.21 4;B+=0.79 4
137Prm,59,137,1,561.22,2.66e-06,260581.6468270471,11/2-,IT=100
137Ndm,60,137,1,519.43,1.6,0.43321698784996576,11/2-,IT=100
137Pmm,61,137,1,160.0,144.0,0.004813522087221842,11/2-,B+=100
137Smm,62,137,1,100.0,20.0,0.03465735902799726,1/2+#,B+ ?
138Snm,50,138,1,1344.0,2.1e-07,3300700.859809263,(6+),IT=100
138Im,53,138,1,67.9,1.26e-06,550116.8099682105,(3-),IT=100
138Csm,55,138,1,79.9,174.60000000000002,0.003969915123481931,6-*,IT=81 3;B-=19 3
138Bam,56,138,1,2090.536,8.5e-07,815467.2712469945,6+,IT=100
138Lam,57,138,1,72.57,1.16e-07,5975406.728965045,(3)+,IT=100
138Lan,57,138,2,738.8,2e-06,346573.59027997265,7-,IT=100
138Cem,58,138,1,2129.28,0.00873,79.39830246963864,7-,IT=100
138Prm,59,138,1,350.0,7632.0,9.082117145701589e-05,7-*,B+=100
138Ndm,60,138,1,3174.5,3.7e-07,1873370.7582701223,10+,IT=100
138Eum,63,138,1,100.0,12.1,0.05728489095536738,7-#,B+=100
138Gdm,64,138,1,2232.6,6.2e-06,111797.93234837828,(8-),IT=100
139Lam,57,139,1,1800.4,3.15e-07,2200467.239872842,(17/2+),IT=100
139Cem,58,139,1,754.24,57.58,0.012037985073983072,11/2-,IT=100
139Ndm,60,139,1,231.16,19800.0,3.50074333616134e-05,11/2-*,B+=87.0 10;IT=13.0 10
139Ndn,60,139,2,2616.9,2.7680000000000004e-07,2504144.4384391084,23/2+,IT=100
139Pmm,61,139,1,188.7,0.18,3.850817669777474,(11/2)-,IT~100;B+ ?
139Smm,62,139,1,457.38,10.7,0.06478011033270517,11/2-,IT=93.7 5;B+=6.3 5
139Eum,63,139,1,148.3,9.999999999999999e-06,69314.71805599454,(7/2+),IT=100
139Gdm,64,139,1,250.0,4.8,0.14440566261665527,1/2+#,B+=100;B+p=?
140Sbm,51,140,1,330.0,4.1e-05,16906.028794145008,"(6-,7-)",IT=100
140Csm,55,140,1,13.931,4.71e-07,1471650.064883111,(2)-,IT=100
140Cem,58,140,1,2107.854,7.2999999999999996e-06,94951.66856985552,6+,IT=100
140Prm,59,140,1,127.8,3.5000000000000004e-07,1980420.5158855577,5+,IT=100
140Prn,59,140,2,763.7,3.0499999999999996e-06,227261.37067539193,(7)-,IT=100
140Ndm,60,140,1,2221.65,0.0006,1155.2453009332423,7-,IT=100
140Ndn,60,140,2,7435.1,1.22e-06,568153.4266884797,20+,IT=100
140Pmm,61,140,1,429.0,357.0,0.0019415887410642726,8-,B+=100
140Eum,63,140,1,210.0,0.125,5.545177444479562,(5-),IT~100;B+<1
140Eun,63,140,2,669.0,2.998e-07,2312031.9565041536,(8+),IT=100
140Dym,66,140,1,2166.1,7e-06,99021.0257942779,8-,IT=100
141Ndm,60,141,1,756.51,62.0,0.011179793234837827,11/2-,IT~100;B+=0.032 8
141Pmm,61,141,1,628.62,6.3e-07,1100233.619936421,11/2-,IT=100
141Smm,62,141,1,175.9,1356.0,0.0005111704871386027,11/2-*,B+=99.69 3;IT=0.31 3
141Eum,63,141,1,96.45,2.7,0.2567211779851649,11/2-,IT=86 3;B+=14 3
141Gdm,64,141,1,377.76,24.5,0.02829172165550797,(11/2-),B+=89 2;IT=11 2
141Hom,67,141,1,66.0,7.2999999999999996e-06,94951.66856985552,(1/2+),p=100
142Lam,57,142,1,145.82,8.7e-07,796720.8971953394,(4)-,IT=100
142Prm,59,142,1,3.694,876.0,0.000791263904748796,5-*,IT=100
142Pmm,61,142,1,883.17,0.002,346.5735902799726,(8)-,IT=100
142Pmn,61,142,2,2828.7,6.7e-05,10345.480306864854,(13-),IT=100
142Smm,62,142,1,2372.1,1.7000000000000001e-07,4077336.356234972,7-,IT=100
142Smn,62,142,2,3662.2,4.800000000000001e-07,1444056.6261665525,10+,IT=100
142Eum,63,142,1,450.0,73.38000000000001,0.00944599591932332,8-,B+=100
142Tbm,65,142,1,279.7,0.303,2.287614457293549,5-,IT=100
142Tbn,65,142,2,652.1,2.6e-05,26659.50694461328,8+,IT=100
143Smm,62,143,1,753.99,66.0,0.01050223000848402,11/2-,IT~100;B+=0.24 5
143Smn,62,143,2,2793.8,0.03,23.104906018664845,23/2-,IT=100
143Eum,63,143,1,389.51,4.9999999999999996e-05,13862.943611198907,11/2-,IT=100
143Gdm,64,143,1,152.6,110.0,0.006301338005090412,11/2-,B+=100;B+p=?;B+A=?
143Dym,66,143,1,310.7,3.0,0.23104906018664842,(11/2-),B+=100;B+p=?
143Dyn,66,143,2,406.3,1.2e-06,577622.6504666212,(7/2-),IT=100
144Csm,55,144,1,92.2,1.1e-06,630133.8005090412,(4-),IT=100
144Prm,59,144,1,59.03,432.0,0.0016045073624072809,3-,IT~100;B-~0.07
144Pmm,61,144,1,840.9,7.8e-07,888650.2314871093,(9)+,IT=100
144Smm,62,144,1,2323.6,8.8e-07,787667.2506363015,6+,IT=100
144Eum,63,144,1,1127.6,1e-06,693147.1805599453,8-,IT=100
144Gdm,64,144,1,3433.1,1.4500000000000001e-07,4780325.383172036,(10+),IT=100
144Tbm,65,144,1,396.9,4.25,0.1630934542493989,6-,IT=66;B+=34
144Tbn,65,144,2,476.2,2.8e-06,247552.56448569475,(8-),IT=100
144Tbp,65,144,3,517.1,6.7e-07,1034548.0306864855,(9+),IT=100
144Hom,67,144,1,265.3,5.19e-07,1335543.7005008578,(8+),IT=100
145Csm,55,145,1,762.9,5.000000000000001e-07,1386294.3611198904,13/2#,IT=100
145Smm,62,145,1,8815.0,3.5199999999999998e-06,196916.81265907537,49/2+,IT=100
145Eum,63,145,1,716.0,4.900000000000001e-07,1414586.0827753984,11/2-,IT=100
145Gdm,64,145,1,749.1,85.0,0.008154672712469944,11/2-,IT=94.3 5;B+=5.7 5
145Dym,66,145,1,118.2,14.1,0.04915937450779754,(11/2-),B+=100;B+p~50
145Hom,67,145,1,100.0,0.1,6.931471805599452,5/2+#,B+ ?;IT ?
145Erm,68,145,1,205.0,1.0,0.6931471805599453,(11/2-),B+=100;IT ?;B+p=?
146Csm,55,146,1,46.7,1.2499999999999999e-06,554517.7444479563,4-#,IT=100
146Lam,57,146,1,141.5,6.08,0.1140044704868331,"(1-,2-)",B-=100
146Eum,63,146,1,666.33,0.000235,2949.5624704678526,9+,IT=100
146Tbm,65,146,1,150.0,24.1,0.028761293799167854,5-,B+=100
146Tbn,65,146,2,930.0,0.00118,587.4128648813096,10+,IT=100
146Dym,66,146,1,2934.5,0.15,4.620981203732969,10+,IT=100
146Tmm,69,146,1,304.0,0.073,9.495166856985552,(5-),p=100;B+ ?;B+p ?
146Tmn,69,146,2,437.0,0.2,3.465735902799726,(10+),p=?;B+ ?;B+p ?
147Csm,55,147,1,701.4,1.9e-07,3648143.0555786593,13/2#,IT=100
147Eum,63,147,1,625.27,7.650000000000001e-07,906074.7458299937,11/2-,IT=100
147Gdm,64,147,1,8587.8,5.1e-07,1359112.1187449908,49/2+,IT=100
147Tbm,65,147,1,50.6,112.2,0.006177782357931776,(11/2-),B+=100
147Dym,66,147,1,750.5,55.2,0.012557014140578719,(11/2-),B+=68.9 23;IT=31.1 23
147Dyn,66,147,2,3407.2,4.0000000000000003e-07,1732867.951399863,(27/2-),IT=100
147Hom,67,147,1,2687.1,3.15e-07,2200467.239872842,(27/2-),IT=100
147Erm,68,147,1,100.0,1.6,0.43321698784996576,(11/2-),B+=100;B+p=?
147Tmm,69,147,1,62.0,0.00035999999999999997,1925.4088348887371,3/2+,p=100
148Csm,55,148,1,45.2,4.8e-06,144405.6626166553,4-#,IT=100
148Prm,59,148,1,76.8,120.6,0.005747489059369364,(4),B-=64 10;IT=36 10
148Pmm,61,148,1,137.9,3567456.0,1.9429733136440794e-07,"5-,6-",B-=95.8 6;IT=4.2 6
148Eum,63,148,1,720.4,1.6200000000000002e-07,4278686.299752749,9+,IT=100
148Tbm,65,148,1,90.1,132.0,0.00525111500424201,(9)+,B+=100
148Tbn,65,148,2,8618.6,1.31e-06,529119.9851602636,(27+),IT=100
148Dym,66,148,1,2919.1,4.71e-07,1471650.064883111,10+,IT=100
148Hom,67,148,1,250.0,9.49,0.07303974505373502,(5-),B+=100;B+p=0.08 1
148Hon,67,148,2,940.0,0.00236,293.7064324406548,(10)+,"IT=100[gs=0,m=100]"
148Erm,68,148,1,2913.2,1.3e-05,53319.01388922656,(10+),IT=100
149Pmm,61,149,1,240.214,3.5e-05,19804.20515885558,11/2-,IT=100
149Eum,63,149,1,496.386,2.4500000000000003e-06,282917.2165550797,11/2-,IT=100
149Tbm,65,149,1,35.78,249.60000000000002,0.0027770319733972162,11/2-,B+~100;A=0.022 3
149Dym,66,149,1,2661.1,0.49,1.4145860827753987,27/2-,IT=99.3 3;B+=0.7 3
149Hom,67,149,1,48.8,56.0,0.012377628224284737,(1/2+),B+=100
149Erm,68,149,1,741.8,8.9,0.07788170568089273,(11/2-),B+=96.5 7;IT=3.5 7;B+p=0.18 7
149Ern,68,149,2,2611.1,6.100000000000001e-07,1136306.8533769592,(19/2+),IT=100
149Erp,68,149,3,3302.0,4.8e-06,144405.6626166553,(27/2-),IT=100
149Tmm,69,149,1,100.0,0.5,1.3862943611198906,1/2+#,B+ ?;B+p ?
150Eum,63,150,1,41.7,46080.0,1.5042256522568257e-05,0-*,B-=89 2;B+=11 2;IT ?
150Tbm,65,150,1,461.0,348.0,0.0019918022429883486,9+,B+~100;IT ?
150Hon,67,150,2,7900.0,7.87e-07,880746.0998220397,(28-),IT=100
150Erm,68,150,1,2796.5,2.5499999999999997e-06,271822.4237489982,10+,IT=100
150Tmm,69,150,1,140.0,2.2,0.31506690025452055,(6-),B+=100;B+p=1.1 3
150Tmn,69,150,2,811.0,0.005200000000000001,133.29753472306638,10+#,"IT=100[gs=0,m=100]"
150Lum,71,150,1,22.0,3.9999999999999996e-05,17328.679513998635,(8+),p=100
151Prm,59,151,1,35.1,4.9999999999999996e-05,13862.943611198907,(7/2+),IT=100
151Smm,62,151,1,261.13,1.4e-06,495105.1289713895,(11/2)-,IT=100
151Eum,63,151,1,196.245,5.8899999999999995e-05,11768.20340509245,11/2-,IT=100
151Tbm,65,151,1,99.53,25.0,0.027725887222397813,11/2-,IT=93.4 20;B+=6.6 20
151Hom,67,151,1,41.0,47.2,0.014685321622032739,1/2+*,A=77 18;B+=23 18
151Erm,68,151,1,2586.0,0.58,1.1950813457930092,(27/2-),IT=95.3 3;B+=4.7 3
151Ern,68,151,2,10286.6,4.2e-07,1650350.4299046316,"(65/2-,61/2+)",IT=100
151Tmm,69,151,1,93.0,6.6,0.1050223000848402,(1/2+),B+=100
151Tmn,69,151,2,2655.67,4.51e-07,1536911.708558637,(27/2-),IT=100
151Ybm,70,151,1,740.0,1.6,0.43321698784996576,(11/2-),B+~100;B+p=?;IT ?
151Ybn,70,151,2,2630.0,2.6e-06,266595.0694461328,19/2-#,IT=100
151Ybp,70,151,3,3287.0,1.9999999999999998e-05,34657.35902799727,27/2-#,IT=100
151Lum,71,151,1,57.0,1.6e-05,43321.69878499658,3/2+,p=100
152Prm,59,152,1,115.1,4.16e-06,166621.918403833,(1+),IT=100
152Pmm,61,152,1,140.0,451.2,0.001536230453368673,4(-),B-=100
152Eum,63,152,1,45.5998,33521.76,2.067752947816419e-05,0-*,B-=73 3;B+=27 3
152Eun,63,152,2,65.2969,9.400000000000001e-07,737390.617616963,1-,IT=100
152Eup,63,152,3,78.2331,1.65e-07,4200892.003393607,1+,IT=100
152Euq,63,152,4,89.8496,3.8400000000000005e-07,1805070.7827081906,4+,IT=100
152Tbm,65,152,1,342.15,9.600000000000001e-07,722028.3130832763,5-,IT=100
152Tbn,65,152,2,501.74,252.0,0.0027505840498410527,8+,IT=78.9 6;B+=21.1 6
152Hom,67,152,1,160.0,49.8,0.013918618083533039,9+*,B+=89.2 17;A=10.8 17
152Hon,67,152,2,3019.59,8.4e-06,82517.52149523159,19-,IT=100
152Tmn,69,152,2,2455.0,3.01e-07,2302814.5533553,(17+),IT=100
152Ybm,70,152,1,2744.5,2.9999999999999997e-05,23104.906018664846,(10+),IT=100
153Ndm,60,153,1,191.71,1.1e-06,630133.8005090412,(5/2)+,IT=100
153Smm,62,153,1,98.39,0.0106,65.39124344905144,11/2-,IT=100
